chroma_major_strength,chroma_minor_strength,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,rms,zcr,mood,timestamp
0.271097,0.268963,19.043204,-14.766969,-5.303558,33.355333,0.028812,53.333333,Energetic,2026-04-12T01:03:50.372142
0.253627,0.242383,30.340523,4.520929,1.563422,18.745333,0.040639,20.8,Energetic,2026-04-12T01:04:21.982584
0.236155,0.24128,13.830139,-11.342003,-2.604739,39.488,0.025565,70.0,Energetic,2026-04-12T01:04:52.883806
0.245216,0.253035,26.405819,0.758293,-6.686424,27.844667,0.031658,34.0,Energetic,2026-04-12T01:05:09.943393
0.245643,0.240295,21.517733,3.418633,0.767967,20.948,0.025801,24.533333,Energetic,2026-04-12T01:05:29.884409
0.239328,0.243545,11.860713,9.300175,12.244644,21.394,0.030515,18.533333,Energetic,2026-04-12T01:06:34.220824
0.267026,0.256359,0.802953,-1.128165,-0.91629,44.326,0.002504,73.2,Energetic,2026-04-12T01:06:46.704952
0.256133,0.26086,15.993431,0.320604,3.000836,40.250667,0.022285,58.666667,Energetic,2026-04-12T01:06:58.737017
0.248916,0.249355,34.450871,6.14001,5.824152,31.234667,0.044299,29.733333,Energetic,2026-04-12T01:07:15.290765
0.255301,0.253089,37.693128,25.13229,11.816524,4.988,0.059191,9.333333,Energetic,2026-04-12T01:07:31.793309
0.263238,0.252327,27.983952,8.715997,-6.522239,11.345333,0.02562,20.933333,Energetic,2026-04-12T01:07:53.534933
0.252915,0.250652,32.125201,6.527713,2.441917,19.938,0.064611,22.4,Energetic,2026-04-12T01:08:41.309859
0.268347,0.249858,33.756274,-1.124602,7.606481,22.518,0.050917,25.6,Energetic,2026-04-12T01:09:03.809607
0.245503,0.243202,42.262666,4.07867,-1.303493,20.954667,0.065412,29.2,Energetic,2026-04-12T01:09:31.343233
0.247194,0.240191,27.263808,2.181755,2.375663,26.672,0.050175,24.4,Energetic,2026-04-12T01:09:54.830469
0.254569,0.253565,6.165237,3.805657,3.626735,27.772,0.016283,30.666667,Energetic,2026-04-12T01:10:09.172909
0.251262,0.247959,5.031789,1.196695,0.690739,27.744,0.006793,34.8,Energetic,2026-04-12T01:10:24.019014
0.260547,0.257124,26.159049,-7.263845,-3.339866,33.682667,0.044858,36.4,Energetic,2026-04-12T01:10:36.050590
0.224528,0.242417,19.907094,-9.709583,-0.000285,33.706667,0.030296,48.0,Energetic,2026-04-12T01:10:47.483251
0.242843,0.250907,27.280171,3.211484,-1.371521,25.733333,0.044269,26.533333,Energetic,2026-04-12T01:11:00.973509
0.260499,0.256055,36.415158,2.958879,-6.071464,21.138,0.057236,23.466667,Energetic,2026-04-12T01:11:19.279556
