chroma_major_strength,chroma_minor_strength,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,rms,zcr,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,spectral_flux,rms_variance,tempo_proxy,mood,timestamp,source
0.251647,0.246963,22.081271,11.320741,1.565792,13.528013,0.020789,13.2,-3.595621,-4.908636,-4.569653,-3.872331,-3.148476,0.041732,7.634e-05,1.0,Sad,2026-04-19T13:58:52.886028,real
0.253987,0.247839,12.724257,10.247971,9.801963,7.869207,0.022618,5.733333,9.694822,8.889262,7.850722,6.952762,5.624725,0.036813,0.00019577,0.0,Angry,2026-04-19T13:59:31.147677,real
0.254835,0.261196,20.23714,-2.278281,-8.335884,26.104443,0.027479,33.333333,-8.073455,-5.944791,-2.463211,-1.309925,-0.902109,0.063109,0.00021008,4.0,Happy,2026-04-19T14:00:01.279094,real
0.253729,0.25408,29.931553,-9.499905,11.737252,26.029622,0.096474,35.333333,12.435517,9.623983,7.591919,5.798726,1.701562,0.376028,0.00918388,3.0,Energetic,2026-04-19T14:00:44.356950,real
0.247087,0.243413,17.59148,-1.194163,-6.171807,31.120232,0.023351,42.8,-7.157136,-3.930685,-1.957407,-1.915299,-1.413705,0.096501,0.00017887,2.0,Angry,2026-04-19T14:02:53.570004,real
0.257175,0.253325,26.227621,-8.002068,-5.169819,30.815197,0.044501,40.4,-0.154692,-0.666651,0.500431,-0.072391,-2.143671,0.175028,0.00093272,1.0,Angry,2026-04-19T14:13:07.043409,real
0.245321,0.247113,15.575062,1.240392,3.672397,33.587917,0.024927,43.333333,3.263627,5.861432,6.260439,1.813205,1.771473,0.08342,0.00019306,1.0,Angry,2026-04-19T14:13:39.197005,real
0.253299,0.249329,23.533469,-1.982766,9.361341,32.752597,0.053547,45.066667,7.27997,7.294509,3.087847,3.570451,2.426533,0.205724,0.00278101,0.0,Angry,2026-04-19T14:13:58.128640,real
0.253688,0.250037,13.845689,4.106857,7.768193,46.179462,0.024412,77.2,6.304506,5.176725,2.584837,3.202365,3.361875,0.084552,0.00061946,0.0,Angry,2026-04-19T14:14:20.543116,real
0.241419,0.236925,17.733322,-2.891599,2.23571,32.526618,0.025484,42.666667,2.17892,-0.674926,1.630825,4.890036,4.771299,0.122801,0.00062349,2.0,Angry,2026-04-19T14:14:44.560131,real
0.260514,0.258885,24.021149,-10.194056,-17.240351,20.843223,0.040443,32.4,-4.761152,0.395175,-4.402059,-4.797855,1.230775,0.110149,0.0012262,0.0,Energetic,2026-04-19T14:15:13.634769,real
0.250783,0.251103,31.511541,-2.366015,3.690749,31.130986,0.054574,44.0,-0.082125,1.913337,0.852819,-3.097294,-1.200577,0.216158,0.00080153,4.0,Energetic,2026-04-19T14:15:32.690725,real
0.245368,0.244826,12.776363,-1.021257,1.736821,25.586644,0.019417,40.4,6.054465,4.589408,3.419412,3.093366,1.618975,0.067491,0.00020206,1.0,Energetic,2026-04-19T14:15:54.976304,real
0.24847,0.262225,29.249795,-0.70728,13.364026,29.038426,0.076134,30.533333,-1.225681,5.274367,-2.215921,0.051636,0.031209,0.326475,0.00400476,3.0,Energetic,2026-04-19T14:16:17.544242,real
0.253468,0.253694,10.052006,-2.542875,0.628954,36.610745,0.018286,55.2,-1.36638,1.309468,-0.303088,-1.632126,0.683023,0.093575,7.137e-05,2.0,Energetic,2026-04-19T14:16:48.933358,real
0.251323,0.214263,26.212443,1.927586,10.969223,45.450443,0.058851,73.333333,5.581775,5.911716,0.897499,2.391173,0.890409,0.247747,0.00227319,4.0,Energetic,2026-04-19T14:17:18.973215,real
0.257164,0.256251,40.144047,-0.716943,4.224101,24.749821,0.084092,29.333333,2.583732,2.022707,-0.837851,1.898617,0.732433,0.333613,0.0042852,0.0,Energetic,2026-04-19T14:17:33.325029,real
0.248833,0.247264,17.654099,1.111492,4.903307,26.273069,0.027145,30.8,1.469562,3.067225,4.499645,3.002687,2.894861,0.121431,0.00048511,1.0,Energetic,2026-04-19T14:17:58.810809,real
0.2375,0.231795,30.880374,-2.877151,5.404583,24.047399,0.049345,32.4,4.507359,1.573903,2.694873,0.856725,-0.611445,0.206734,0.00065018,1.0,Energetic,2026-04-19T14:18:24.897463,real
0.247859,0.23403,19.842006,-1.203632,2.878878,28.484416,0.03127,41.733333,3.997853,2.262577,1.258314,-0.401747,-0.920253,0.101359,0.00014379,1.0,Energetic,2026-04-19T14:18:32.522825,real
0.250265,0.244772,17.232036,7.413983,14.225227,31.537493,0.031026,37.466667,6.716691,3.05795,2.346653,0.745714,-0.579347,0.111701,0.000284,2.0,Energetic,2026-04-19T14:19:02.753500,real
0.255533,0.249497,17.801916,4.792079,12.659958,25.902205,0.040756,36.4,8.299705,5.321045,4.644855,4.375769,4.710871,0.10754,0.00076966,0.0,Energetic,2026-04-19T14:19:21.405833,real
0.262013,0.252603,20.227817,-4.628618,7.180165,24.187235,0.04298,33.733333,0.937978,0.876393,0.213907,-0.095056,0.376944,0.216631,0.00131368,4.0,Energetic,2026-04-19T14:19:47.400796,real
0.255355,0.252489,17.987924,6.185436,18.504628,38.729081,0.046659,54.4,2.097772,4.852566,2.877675,-0.397745,-0.73831,0.230998,0.00127667,2.0,Happy,2026-04-19T14:20:20.836854,real
0.245144,0.246997,12.415009,4.644477,4.162718,31.335982,0.015359,37.066667,1.650964,2.218589,2.202192,1.061893,1.516721,0.05891,9.463e-05,1.0,Happy,2026-04-19T14:20:47.323215,real
0.245531,0.24359,6.610973,-1.583288,-0.557127,33.137647,0.011316,54.533333,-1.921703,0.608548,2.565549,1.949036,2.301518,0.050567,3.445e-05,1.0,Happy,2026-04-19T14:21:00.965622,real
0.254827,0.244483,31.749266,4.314758,5.089955,22.362541,0.049802,31.2,3.906095,1.450416,-0.467259,-2.822106,-0.988454,0.147759,0.00122522,2.0,Happy,2026-04-19T14:21:21.100863,real
0.250347,0.241437,15.07644,-3.250581,5.886077,34.98609,0.02951,46.533333,-1.438519,-1.303731,-1.844095,0.351555,1.409664,0.144791,0.00070266,2.0,Happy,2026-04-19T14:21:49.916572,real
0.246986,0.252321,27.499088,-1.360833,3.68252,25.540853,0.044372,34.0,1.505503,1.8501,4.553635,5.5065,6.153881,0.175478,0.00094661,1.0,Happy,2026-04-19T14:22:32.538201,real
0.255908,0.251265,16.38468,2.363631,6.753058,35.785067,0.040687,54.533333,-1.238459,1.780541,1.065274,-0.881014,3.077662,0.139561,0.00106139,1.0,Happy,2026-04-19T14:22:52.476178,real
0.240993,0.245039,9.47863,1.931493,2.405763,40.335179,0.015707,47.466667,1.074336,2.920117,1.111049,0.131241,1.275026,0.077082,0.00017866,1.0,Happy,2026-04-19T14:23:10.545198,real
0.247991,0.250436,25.445035,12.533145,3.69929,14.400487,0.033213,17.066667,-1.94314,-4.740138,-5.735187,-6.555658,-6.292079,0.066724,0.00031704,1.0,Sad,2026-04-19T14:23:39.791562,real
0.250852,0.248107,30.732877,8.954257,-1.882149,14.596451,0.050111,12.666667,-3.866552,-5.544385,-6.829638,-5.904847,-5.426359,0.101983,0.00241019,3.0,Sad,2026-04-19T14:24:01.348380,real
0.260737,0.258599,31.745231,12.697995,0.595456,12.704567,0.052367,13.866667,-4.311799,-7.250159,-8.035153,-5.306551,-2.394883,0.084029,0.00224339,3.0,Sad,2026-04-19T14:24:10.074896,real
